Food,ProductType,FlavorVariant,Calories-kcl,Protein-g,Carb-g,Fiber-g,Sugar-g,Sodium-g,SaturatedFat-g,MonounsaturatedFat-g,PolyunsaturatedFat-g,TransaFat-g,MeasureQuantity,MeasureType,MQCalories-kcl,MQGmWt,MQCalories100gm-kcl
Andrea'S,Gluten Free Soft Dinner Roll, Prepared From Recipe,257,5.7,40.2,2.9,3.0,544,4.84,4.51,4.37,0.49,1.0,Roll,177,69.0,257
Archway,Home Style Cookies,Chocolate Chip Ice Box,497,4.3,65.0,2.0,34.1,270,8.1,8.9,1.4,5.83,1.0,Serving,119,24.0,497
Archway,Home Style Cookies,Coconut Macaroon,460,3.0,61.2,5.1,45.2,200,20.1,1.6,0.8,0.49,1.0,Serving,101,22.0,460
Archway,Home Style Cookies,Date Filled Oatmeal,400,4.7,68.2,2.1,34.3,331,2.8,4.8,1.1,3.36,1.0,Serving,100,25.0,400
Archway,Home Style Cookies,Dutch Cocoa,431,4.5,69.4,2.6,35.4,384,3.6,5.9,1.2,4.24,1.0,Serving,103,24.0,431
Archway,Home Style Cookies,Frosty Lemon,430,4.4,64.8,0.7,33.4,449,5.8,5.8,0.9,0.49,1.0,Serving,112,26.0,430
Archway,Home Style Cookies,Iced Molasses,420,3.5,69.1,1.0,38.4,605,4.2,4.8,2.4,3.08,1.0,Serving,118,28.0,420
Archway,Home Style Cookies,Iced Oatmeal,435,4.9,66.8,2.0,37.2,377,4.6,5.6,2.7,3.58,1.0,Serving,122,28.0,435
Archway,Home Style Cookies,Molasses,403,4.3,69.4,1.2,36.4,577,2.8,4.9,1.1,3.34,1.0,Serving,105,26.0,403
Archway,Home Style Cookies,Oatmeal,421,5.5,68.2,2.9,34.5,394,3.2,5.7,1.3,3.88,1.0,Serving,105,25.0,421
Archway,Home Style Cookies,Oatmeal Raisin,406,5.2,69.3,2.7,39.6,339,2.8,4.9,1.2,3.32,1.0,Serving,106,26.0,406
Archway,Home Style Cookies,Old Fashioned Molasses,406,4.3,70.6,1.1,36.1,561,2.8,4.8,1.0,3.25,1.0,Serving,106,26.0,406
Archway,Home Style Cookies,Old Fashioned Windmill Cookies,468,5.2,72.2,1.8,32.6,471,3.8,7.8,1.7,4.3,1.0,Serving,94,20.0,468
Archway,Home Style Cookies,Peanut Butter,480,9.0,58.5,2.8,32.6,404,5.4,10.2,4.2,0.49,1.0,Serving,101,21.0,480
Archway,Home Style Cookies,Raspberry Filled,400,4.4,65.9,2.2,31.8,334,5.2,4.1,1.1,2.85,1.0,Serving,100,25.0,400
Archway,Home Style Cookies,Reduced Fat Ginger Snaps,424,4.7,76.2,1.1,36.3,406,2.6,3.6,1.7,3.31,1.0,Serving,136,32.0,424
